Prof_Course		The instructor provided clearly defined expectations.	The instructor used teaching methods that facilitated my learning.	"The instructor encouraged me to take a role in my own learning, to ask questions, and to participate."	The instructor was well prepared to teach.	The instructor was available outside of class either electronically or in person.	The instructor is one whom I would recommend to other students.
"Tice,Kathleen:LIST-4374-001-EC-6 LIT LRNG: LITRATUR & LANG"	Mean	4.6842	4.7436	4.8205	4.8205	4.7692	4.7368
	N	38	39	39	39	39	38
"Tice,Kathleen:LIST-4374-002-EC-6 LIT LRNG: LITRATUR & LANG"	Mean	4.6923	4.5897	4.6154	4.6316	4.5385	4.5641
	N	39	39	39	38	39	39
"Tice,Kathleen:LIST-4376-001-ASSESSMENT IN LITERACY LRNG"	Mean	5	5	5	5	5	5
	N	3	3	3	3	3	3
"Tice,Kathleen:LIST-4376-001-ASSESSMENT IN LITERACY LRNG (2102-20584)"	Mean	4.2857	4.5714	4.4286	4.2857	4.7143	4.4286
	N	7	7	7	7	7	7
"Tidwell,Christy:ENGL-2329-007-AMERICAN LIT"	Mean	3.6667	3.5	4.0333	4	4.3667	3.8
	N	30	30	30	30	30	30
"Tiernan,Janice:CSE-1320-002-INTERMEDIATE PROGRAMMING"	Mean	4.1714	4.0571	4.5143	4.4412	4.4	4.1429
	N	35	35	35	34	35	35
"Timmons,Richard:CHEM-1442-002-GENERAL CHEMISTRY II"	Mean	4.3333	3.8333	4.5455	4.5833	4.5	4.0909
	N	12	12	11	12	12	11
"Tindell,Shawn:NURS-1335-002-INTRO TO PROFESSIONAL NURSING"	Mean	4.7083	4.6	4.56	4.68	4.6	4.72
	N	24	25	25	25	25	25
"Tingook,Ronnie:GEOL-1426-003-EARTH HISTORY"	Mean	4.069	3.8276	3.8621	3.8621	4.2069	4.069
	N	29	29	29	29	29	29
"Tjuatja,Saibun:EE-5302-001-RANDOM SIGNALS AND NOISE"	Mean	4.5	4	3.75	4.75	4.25	4
	N	4	4	4	4	4	4
"Tjuatja,Saibun:EE-5302-002-RANDOM SIGNALS AND NOISE"	Mean	4	4	3	4	5	5
	N	1	1	1	1	1	1
"Tjuatja,Saibun:EE-5306-001-ELECTROMAGNETIC THEORY"	Mean	4	4	4	5	5	5
	N	1	1	1	1	1	1
"Tjuatja,Saibun:EE-5306-002-ELECTROMAGNETIC THEORY"	Mean	2.3333	3	2.6667	2.3333	3.3333	2.6667
	N	3	3	3	3	3	3
"Tobolowsky,Barbara:EDAD-5390-001-SELECTED TOPICS"	Mean	4.75	4.5	4.75	4.75	5	4.5
	N	4	4	4	4	4	4
"Tobolowsky,Barbara:EDAD-6335-001-K-16 INST EFFECTIVE POLICY RES"	Mean	4.7143	4.7857	4.8571	4.9286	4.7692	4.9286
	N	14	14	14	14	13	14
"Todd,Sharolyn:NURS-3366-072-PATHOPHYSIOLOGIC PROCESSES"	Mean	3.875	3.625	3.875	3.75	3.875	3.625
	N	8	8	8	8	8	8
"Todd,Sharolyn:NURS-UL-3366-601-PATHOPHYSIOLOGIC PROCESSES"	Mean	4.5	4.25	4.25	4.1875	4.25	4.25
	N	16	16	16	16	16	16
"Togun,Ifeoluwa:PSYC-4334-001-COGNITIVE PROCESSES"	Mean	4.7917	4.8261	4.7083	4.875	4.6522	4.9167
	N	24	23	24	24	23	24
"Tong,Albert:MAE-4301-004-SPEC TOPICS MECH & AERO ENGR"	Mean	4	4	4	4	5	4
	N	1	1	1	1	1	1
"Tong,Albert:ME-5345-001-NUMERICAL HEAT TRANSFER"	Mean	4.7143	4.7143	4.7143	4.7143	4.8571	4.8571
	N	7	7	7	7	7	7
"Tosten,Erik:ART-2304-002-DIGITAL DESIGN"	Mean	3.6667	3.5	3.875	4.0625	3.5625	3.9375
	N	15	16	16	16	16	16
"Tosten,Erik:ART-2304-003-DIGITAL DESIGN"	Mean	4	4	4.1875	4.1875	4.125	4.0625
	N	16	16	16	16	16	16
"Tosten,Erik:ART-2304-004-DIGITAL DESIGN"	Mean	4.2353	4.2353	4.3125	4.4118	3.625	4.0588
	N	17	17	16	17	16	17
"Townsley,William:MUSI-0125-001-SAX CHOIR"	Mean	4	3.875	4.375	3.875	4.25	4.25
	N	7	8	8	8	8	8
"Townsley,William:MUSI-1246-006-PRIVATE LESSONS WOODWINDS"	Mean	5	5	5	5	5	5
	N	1	1	1	1	1	1
"Townsley,William:MUSI-1247-006-PRIVATE LESSONS IN WOODWINDS"	Mean	5	5	4.5	4.5	4.5	4.5
	N	1	2	2	2	2	2
"Townsley,William:MUSI-3246-006-PRIVATE LESSONS IN WOODWINDS"	Mean	5	5	5	4	5	5
	N	1	1	1	1	1	1
"Trevino,Roberto:HIST-3300-003-INTRO TO HISTORICAL RESEARCH"	Mean	4.5714	4.5714	4.7143	4.7143	4.7143	4.4286
	N	7	7	7	7	7	7
"Trowbridge,Cynthia:KINE-3333-001-THERAPEUTIC MODALITIES"	Mean	4.5833	4.5833	4.6667	4.8182	4.5833	4.4167
	N	12	12	12	11	12	12
"Trowbridge,Cynthia:KINE-4131-001-ATHLETIC TRAINING CLINPRAC V"	Mean	4.5	4.6667	4.5	4.6667	4.6667	4.3333
	N	6	6	6	6	6	6
"Trowbridge,Cynthia:KINE-5389-003-RESEARCH MANUSCRIPT SUBMISSION"	Mean	5	5	5	5	5	5
	N	1	1	1	1	1	1
"Tsai,Chi-Chun:BE-5370-011-BIOMAT-LIVING SYS INTERACTION"	Mean	4.2857	4.2857	4.4286	4.5714	4.2857	4.4286
	N	7	7	7	7	7	7
"Tsay,Jeffrey:ACCT-3303-001-ACCOUNTING INFO SYSTEMS"	Mean	3.4848	2.9375	3.75	3.9091	3.7812	2.6061
	N	33	32	32	33	32	33
"Tsay,Jeffrey:ACCT-3303-002-ACCOUNTING INFO SYSTEMS"	Mean	3.9333	3.8	3.9333	4.3333	4.1429	3.6
	N	15	15	15	15	14	15
"Tsay,Jeffrey:ACCT-5335-001-DESIGN OF ACCOUNTING SYSTEMS"	Mean	4.1429	3.5714	3.8571	4.2857	4.5	3.7857
	N	14	14	14	14	14	14
"Tucker,Gene:HIST-1312-011-HISTORY OF U.S."	Mean	4.5211	4.507	4.1127	4.7183	4.4366	4.507
	N	71	71	71	71	71	71
"Turcotte,Marc:MATH-3319-001-DIFF EQ & LINEAR ALGEBRA"	Mean	2.7442	2.35	2.619	2.6512	2.9302	2.1951
	N	43	40	42	43	43	41
"Turner,Jere:BLAW-3312-002-LAW II (2102-21407)"	Mean	4.6939	4.4792	4.2245	4.6809	4.4286	4.68
	N	49	48	49	47	49	50
"Turner,Jere:BLAW-3312-003-LAW II (2102-21408)"	Mean	4.766	4.6739	4.3404	4.766	4.0652	4.617
	N	47	46	47	47	46	47
"Turner,Jere:BLAW-3312-004-LAW II"	Mean	4.625	4.375	3.875	4.625	4	4.5
	N	8	8	8	8	8	8
"Turpin,Patricia:NURS-5341-001-FINANCIAL MANAGEMENT IN NSG"	Mean	4.3333	4.5833	4.6667	4.75	4.6667	4.6667
	N	12	12	12	12	12	12
"Tutt,Thomas:ENGL-1301-019-EXPOS WRITING"	Mean	4.4118	4.3529	4.3529	4.5882	4.4118	4.6471
	N	17	17	17	17	17	17
"Tutt,Thomas:ENGL-2319-007-BRITISH LIT"	Mean	4.5556	4.3529	4.4706	4.5	4.4118	4.4706
	N	18	17	17	18	17	17
"Vaccaro,Mary:ART-3308-001-HIGH RENAISSANCE"	Mean	4.7949	4.7179	4.6923	4.9231	4.7436	4.7692
	N	39	39	39	39	39	39
"Vaccaro,Mary:ART-4396-001-SPEC STUDY ART HISTORY"	Mean	4.9	4.9	4.9	5	5	4.9
	N	10	10	10	10	9	10
"Van Dyke,Pamela:MANA-5338-001-CAREERS & MANAGING CHG ENVIRMN"	Mean	4.2593	4.3704	4.4815	4.0769	4	4.4444
	N	27	27	27	26	27	27
"Van Noort,Kimberly:FREN-4328-001-TOPICS TWENTIETH-CENTURY"	Mean	4.625	4.75	4.7143	4.8571	4.625	4.75
	N	8	8	7	7	8	8
"Van Noort,Kimberly:FREN-5331-001-GENRES OF THE 20TH CENTURY"	Mean	4.6667	4.8333	4.8333	4.8333	4.8333	4.8333
	N	6	6	6	6	6	6
"Vancliff,Michaela:MATH-4321-001-ABSTRACT ALGEBRA II"	Mean	4.7273	4.3636	4.5455	4.8182	4.4545	4.5455
	N	11	11	11	11	11	11
"Varner,Michael:MUSI-0114-001-PERCUSSION ENSEMBLE (2102-24031)"	Mean	4.6	4.4	4.7	4.5	4.6	4.6
	N	10	10	10	10	10	10
"Varner,Michael:MUSI-0114-002-PERCUSSION ENSEMBLE (2102-24032)"	Mean	4.7857	4.7143	4.7857	4.9231	4.7143	4.9167
	N	14	14	14	13	14	12
"Varner,Michael:MUSI-2251-001-PRIVATE LESSONS IN PERCUSSION"	Mean	5	5	5	5	5	5
	N	2	2	2	2	2	2
"Varner,Michael:MUSI-2300-001-WORLD MUSIC"	Mean	4.0213	3.6522	3.7234	4.1739	3.9565	3.766
	N	47	46	47	46	46	47
"Varner,Michael:MUSI-3361-001-PRIVATE LESSONS IN PERCUSSION"	Mean	4	5	5	5	5	5
	N	1	1	1	1	1	1
"Varner,Michael:MUSI-4251-001-PRIVATE LESSONS IN PERCUSSION"	Mean	5	5	5	5	5	5
	N	1	1	1	1	1	1
"Veerabathina,Nilakshi:ASTR-1445-001-INTRODUCTORY ASTRONOMY I"	Mean	5	5	5	5	4	5
	N	1	1	1	1	1	1
"Veerabathina,Nilakshi:PHYS-1445-001-ASTRONOMY I"	Mean	3.8056	3.5833	3.973	3.8947	3.973	3.7222
	N	36	36	37	38	37	36
"Veerabathina,Nilakshi:PHYS-1446-001-ASTRONOMY II"	Mean	4.1667	3.9103	4.2208	4.25	4.2667	3.9091
	N	78	78	77	80	75	77
"Veit,Dennis:MANA-4325-001-LEADERSHIP IN ORGANIZATIONS"	Mean	4.7568	4.8158	4.8158	4.8158	4.7838	4.8108
	N	37	38	38	38	37	37
"Veit,Dennis:MANA-4325-003-LEADERSHIP IN ORGANIZATIONS"	Mean	4.871	4.871	4.8387	4.7742	4.8	5
	N	31	31	31	31	30	31
"Veit,Dennis:MANA-4325-004-LEADERSHIP IN ORGANIZATIONS"	Mean	5	5	5	5	5	5
	N	4	4	4	4	3	4
"Velez,Lea:SOCW-3306-001-SW PRACTIC III"	Mean	4.8235	4.8824	4.9412	5	4.8824	4.9412
	N	17	17	17	17	17	17
"Venugopalan,Gopakumar:EDUC-5394-001-UNDERSTANDING CLASSROOM RSRCH"	Mean	2.5333	3.4	4.2	3.6	4.1333	3.5333
	N	15	15	15	15	15	15
"Vieira,Janice:EDUC-5305-105-CUR DESGN, IMPLMNTATION & EVAL"	Mean	4.3333	4.3333	4.3333	4.5	4.3333	4.3333
	N	6	6	6	6	6	6
"Vonderheydt,Barbara:ARCH-5331-001-PROFESSIONAL PRACTICE"	Mean	4.6364	4.4545	4.5455	4.6364	4.5455	4.6364
	N	11	11	11	11	11	11
"Vorderkunz,Robin:ECED-4687-012-RESIDENCY IN EC-6 EDUCATION"	Mean	4	4	4	4	4	4
	N	1	1	1	1	1	1
"Vossler,Joshua:ENGL-1302-063-CRITICAL THINK, READ, WRITE"	Mean	3	3	3	3	3	3
	N	1	1	1	1	1	1
"Wagener,Natalie:SPAN-1441-011-BEGINNING SPANISH I"	Mean	4.2941	4.2353	4.2941	4.5625	4	4.2941
	N	17	17	17	16	17	17
"Wagener,Natalie:SPAN-1441-014-BEGINNING SPANISH I"	Mean	4.2667	4.1333	4.3571	4.3333	3.8667	4.0667
	N	15	15	14	15	15	15
"Wagener,Natalie:SPAN-2313-001-INTERMEDIATE SPANISH I"	Mean	3.5333	3.2667	3.6	4.2	3.4667	3.4667
	N	15	15	15	15	15	15
"Wagener,Natalie:SPAN-2313-003-INTERMEDIATE SPANISH I"	Mean	4.2	4	4	4.6	4	4
	N	10	10	10	10	8	9
"Wagener,Natalie:SPAN-2313-009-INTERMEDIATE SPANISH I"	Mean	4.3	4	4.2	4.4	4	3.9
	N	10	10	10	10	10	10
"Wallace,David:ENGL-1302-050-CRITICAL THINK, READ, WRITE"	Mean	4.5	4.6429	4.7857	4.7143	4.6429	4.6429
	N	14	14	14	14	14	14
"Wallace,David:ENGL-2329-014-AMERICAN LIT"	Mean	4.3	4.3	4.5	4.4	4.3	4.5
	N	10	10	10	10	10	10
"Wallace,William:CE-4348-001-STRUCTURAL DESIGN IN STEEL"	Mean	4.125	3.125	3.875	4.375	4.375	4
	N	8	8	8	8	8	8
"Wallace,William:CE-5306-001-STRUCTURAL STEEL DESIGN"	Mean	4	3.625	3.875	4.125	4.4286	4
	N	8	8	8	8	7	7
"Walvoord,Martha:MUSI-1245-001-PRIVATE LESSONS IN STRINGS"	Mean	5	5	5	5	5	5
	N	4	4	4	4	4	4
"Walvoord,Martha:MUSI-3245-001-PRIVATE LESSONS IN STRINGS"	Mean	4.5	4.5	4.5	4.5	4	4.5
	N	2	2	2	2	2	2
"Walvoord,Martha:MUSI-3355-001-PRIVATE LESSONS IN STRINGS"	Mean	5	5	5	5	5	5
	N	1	1	1	1	1	1
"Walvoord,Martha:MUSI-4244-001-PRIVATE LESSONS IN STRINGS"	Mean	5	5	5	5	4	5
	N	1	1	1	1	1	1
"Walvoord,Martha:MUSI-4455-001-PRIVATE LESSONS IN STRINGS"	Mean	4	5	5	4	4	5
	N	1	1	1	1	1	1
"Walvoord,Martha:MUSI-5325-001-PRIVATE LESSONS IN VIOLIN"	Mean	5	5	5	5	5	5
	N	1	1	1	1	1	1
"Wang,Bo:AE-5331-001-STRUCTURAL DYNAMICS"	Mean	4.75	4.25	4.25	4.75	4.5	4.5
	N	4	4	4	4	4	4
"Wang,Bo:MAE-3316-001-AEROSPACE STRUCTURAL DYNAMICS (2102-24765)"	Mean	3.8	2.96	3.44	3.56	4.28	2.84
	N	25	25	25	25	25	25
"Wang,Bo:MAE-4314-001-MECHANICAL VIBRATIONS (2102-24785)"	Mean	4	5	5	5	5	5
	N	1	1	1	1	1	1
"Wang,Bo:ME-5311-001-STRUCTURAL DYNAMICS (2102-24792)"	Mean	4.25	4	3.9167	4.4167	4.6667	4.4167
	N	12	12	12	12	12	12
"Wang,Bo:ME-5311-002-STRUCTURAL DYNAMICS (2102-24793)"	Mean	4	4	4	5	4	4
	N	1	1	1	1	1	1
"Wang,Jingguo:BSTAT-3321-006-BUSINESS STATISTICS I"	Mean	4.3611	3.8611	3.9167	4.1667	3.9167	3.5
	N	36	36	36	36	36	36
"Wang,Jingguo:INSY-5343-001-DATA COMM AND NETWORK"	Mean	3.1429	3.25	3.375	4	4	3.375
	N	7	8	8	8	8	8
"Wang,Qiushi:URPA-5348-001-COST BENEFIT ANALYSIS"	Mean	5	5	5	5	5	
	N	1	1	1	1	1	
"Wang,Qiushi:URPA-5399-001-PUBLIC ADMINISTRATION CAPSTONE"	Mean	3.3333	3.3333	3.3333	3.3333	3.6667	3.3333
	N	3	3	3	3	3	3
"Wang,Shu-Shaw:EE-4330-001-FNDMTLS TELECOMMUNICATION SYS"	Mean	4.3077	4.2308	4.3846	4.3077	4.2308	4.3846
	N	13	13	13	13	13	13
"Wang,Shu-Shaw:EE-5360-001-DATA COMMUNICATIONS ENGRG"	Mean	4.2381	4.1818	4.1304	4.2609	4.3913	4.3043
	N	21	22	23	23	23	23
"Wang,Shu-Shaw:EE-5360-003-DATA COMMUNICATIONS ENGRG"	Mean	5	5	5	5	5	5
	N	1	1	1	1	1	1
"Wang,Shu-Shaw:EE-5368-001-WIRELESS COMMUNICATION SYSTEMS"	Mean	4.381	4.1905	4.5238	4.4286	4.65	4.35
	N	21	21	21	21	20	20
"Wang,Tien:MARK-3321-011-PRINCIPLES OF MARKETING"	Mean	2.9091	2.9091	2.8636	3.0455	3.381	2.4545
	N	22	22	22	22	21	22
"Ward,Michael:ECON-3310-001-MICROECONOMICS (2102-22658)"	Mean	4.4706	4.0882	3.9706	4.5882	4.3939	4.2941
	N	34	34	34	34	33	34
"Ward,Michael:ECON-5310-001-MICROECONOMIC THEORY"	Mean	4.2917	4.25	4.2083	4.375	4.5417	4.5
	N	24	24	24	24	24	24
"Ward,William:POLS-2311-008-GOVT OF U S"	Mean	4	3.7907	4.0952	4.3023	3.4186	3.814
	N	43	43	42	43	43	43
"Ward,William:POLS-2312-006-STATE & LOCAL GOVT"	Mean	4.3158	4.1091	4.2143	4.3509	3.8571	4.2143
	N	57	55	56	57	56	56
"Ward,William:POLS-2312-009-STATE & LOCAL GOVT"	Mean	4.0571	3.8696	4.087	4.2576	3.6618	4.0149
	N	70	69	69	66	68	67
"Ward,William:POLS-2312-010-STATE & LOCAL GOVT"	Mean	4.3636	4.2453	4.283	4.5185	3.9636	4.3636
	N	55	53	53	54	55	55
"Warren,James:ENGL-4370-001-THEORY & PRACT"	Mean	4.9412	4.8235	4.875	5	4.8824	5
	N	17	17	16	17	17	17
"Warren,James:ENGL-5311-001-FNDTNS RHETORIC & COMPOSITION"	Mean	4.4615	4.5	4.7857	4.8571	4.7143	4.7857
	N	13	14	14	14	14	14
"Warren,Kathryn:ENGL-2329-703-AMERICAN LIT"	Mean	5	5	5	5	5	5
	N	1	1	1	1	1	1
"Warren,Martha:ENGL-2309-001-WORLD LIT"	Mean	4.6154	4.5385	4.6154	4.8462	4.75	4.8462
	N	13	13	13	13	12	13
"Warren,Martha:ENGL-2309-002-WORLD LIT"	Mean	4.5556	4.4444	4.5556	4.8148	4.7037	4.7778
	N	27	27	27	27	27	27
"Warren,Martha:ENGL-2309-003-WORLD LIT"	Mean	4.5714	4.4643	4.5357	4.6071	4.5769	4.5
	N	28	28	28	28	26	28
"Warren,Martha:ENGL-2309-004-WORLD LIT"	Mean	4.4375	4.3125	4.4687	4.5625	4.3125	4.5313
	N	32	32	32	32	32	32
"Warren,Martha:ENGL-2309-013-WORLD LIT"	Mean	4.3333	4.1111	4.3333	4.5556	4.2222	3.8889
	N	9	9	9	9	9	9
"Warren,Martha:ENGL-2309-014-WORLD LIT"	Mean	5	5	5	5	5	5
	N	1	1	1	1	1	1
"Washington,Sara:NURS-1335-001-INTRO TO PROFESSIONAL NURSING"	Mean	4.44	4.4	4.56	4.64	4.44	4.5833
	N	25	25	25	25	25	24
"Washington,Sara:NURS-1335-003-INTRO TO PROFESSIONAL NURSING"	Mean	4.6071	4.5357	4.5	4.5926	4.7037	4.7778
	N	28	28	28	27	27	27
"Watson,Charles:BIOL-1282-017-INTRO TO BIOLOGY LAB"	Mean	3.0714	3	2.9286	3	2.7143	2.7143
	N	14	13	14	14	14	14
"Watson,Charles:BIOL-1282-018-INTRO TO BIOLOGY LAB"	Mean	3.0588	3.1176	3.2353	2.9412	3	3.0588
	N	17	17	17	17	17	17
"Watson,Charles:BIOL-1333-003-INTRO BIOL"	Mean	3.6667	3	3	3.3333	3.1111	3.2222
	N	9	9	9	9	9	9
"Watson,Larry:SOCW-3303-002-SW POL & SERV"	Mean	4.45	4.4091	4.6	4.6818	4.45	4.65
	N	20	22	20	22	20	20
"Watson,Larry:SOCW-3303-003-SW POL & SERV"	Mean	4.5	4	5	5	3	4.5
	N	2	2	2	2	2	2
"Watson,Sonja:SPAN-3312-002-LATIN AM CULTURE/CIVILIZATION"	Mean	4.7037	4.7308	4.6897	4.7586	4.6429	4.75
	N	27	26	29	29	28	28
"Watson,Sonja:SPAN-3315-003-COMPOSITION THROUGH LITERATURE"	Mean	4.5625	4.4375	4.5625	4.75	4.625	4.6875
	N	16	16	16	16	16	16
"Watts,Thomas:SOCW-5303-001-FOUND OF SCIAL PLCY & SERVICES"	Mean	4.5714	3.8571	4.4286	4.2857	4.5714	4
	N	7	7	7	7	7	7
"Watts,Thomas:SOCW-5303-002-FOUND OF SCIAL PLCY & SERVICES"	Mean	4.6667	3.5556	4.3333	4.2222	4.6667	4
	N	9	9	9	9	9	9
"Weatherton,Yvette:CE-3334-001-PRINCIPLES ENVIRONMENTAL ENGR"	Mean	3.5909	3.6522	3.8182	3.4348	3.4348	3.1364
	N	22	23	22	23	23	22
"Weatherton,Yvette:CE-5321-001-ENGRG FOR ENVIR SCIENTISTS"	Mean	5	5	4	5	5	5
	N	1	1	1	1	1	1
"Weatherton,Yvette:CE-5321-002-ENGRG FOR ENVIR SCIENTISTS"	Mean	2	1	4	1	5	3
	N	1	1	1	1	1	1
"Webb,Micheal:SCED-5353-005-EARTH SCI STRUC, MVMT & CHANGE"	Mean	4	4.2	4	4	4	4
	N	5	5	5	5	5	5
"Webb,Micheal:SCED-5354-005-EARTH SCI WATER & WEATHER"	Mean	4.3333	4	4.1667	4.3333	4.3333	4.3333
	N	6	6	6	6	6	6
"Webber,Paul:FINA-3315-003-INVESTMENTS"	Mean	4.5625	4.4848	4.4848	4.7187	4.4545	4.5313
	N	32	33	33	32	33	32
"Weems,Bob:CSE-2320-001-ALGORITHMS & DATA STRUCTURES"	Mean	4.2	4	3.9	4.65	4.5	4.15
	N	20	20	20	20	20	20
"Wehr,Roger:ECON-2305-003-PRIN MACRO ECO"	Mean	4.1343	3.971	4.0615	4.3382	4.1014	4.194
	N	67	69	65	68	69	67
"Wehr,Roger:ECON-3328-001-PRINCIPLES OF TRANSPORTATION"	Mean	4.22	4.1373	4.18	4.3265	4.3333	4.3
	N	50	51	50	49	51	50
"Wehr,Roger:ECON-3388-001-EURO ECON HISTORY 1750 - NOW"	Mean	4.3396	4.3585	4.4231	4.5849	4.4528	4.6471
	N	53	53	52	53	53	51
"Wehr,Roger:ECON-4321-002-INTERNATIONAL TRADE"	Mean	4.5556	4.5556	4.3529	4.6111	4.7222	4.5556
	N	18	18	17	18	18	18
"Weiss,Alexander:PHYS-2311-001-MATH METHODS OF PHYSICS"	Mean	4	4	4.25	4.375	4.3125	4.3125
	N	16	16	16	16	16	16
"Weiss,Barton:ART-3111-001-DIRECTED SCREENINGS"	Mean	4.0968	3.6333	3.7097	3.8387	4	3.7419
	N	31	30	31	31	30	31
"Weiss,Barton:ART-4392-004-SPECIAL STUDIES"	Mean	3.4	3.8	4.3	4.1	4.4	4.5
	N	10	10	10	10	10	10
"Weiss,Barton:ART-5383-002-RES FILM/VIDEO & SCREENWRITING"	Mean	5	5	5	5	5	5
	N	3	3	3	3	3	3
"Welch,Catharine:LING-3311-001-INTRO LINGUISTIC SCIENCE"	Mean	4.8095	4.8	4.6667	4.8095	4.65	4.8095
	N	21	20	21	21	20	21
"Welch,James:INTS-4391-001-INTERDISCIPLINARY CAPSTONE"	Mean	4.7727	4.7826	4.7391	4.8261	4.8261	4.7727
	N	44	46	46	46	46	44
"Welch,James:INTS-4391-005-INTERDISCIPLINARY CAPSTONE"	Mean	4.6429	4.5357	4.8571	4.8571	4.8214	4.9286
	N	28	28	28	28	28	28
"Weltman,David:OPMA-3306-003-OPERATIONS MANAGEMENT"	Mean	4.6	4.5682	4.5455	4.6739	4.6957	4.5435
	N	45	44	44	46	46	46
"Weltman,David:OPMA-3306-008-OPERATIONS MANAGEMENT"	Mean	4.75	4.8	4.625	4.8125	4.6875	4.8125
	N	16	15	16	16	16	16
"Westmoreland,Sandra:BIOL-3309-001-N-M SEL TOPICS"	Mean	4.1458	3.8958	3.8542	3.6809	4.0217	3.9375
	N	48	48	48	47	46	48
"Wheat,Dustin:ARCH-2551-003-BASIC DESIGN AND DRAWING I"	Mean	4.2	4.4	4.6	4.5	3.5	4.5
	N	10	10	10	10	10	10
"Wheat,Dustin:ARCH-2551-004-BASIC DESIGN AND DRAWING I"	Mean	3.125	3.375	4.25	4	3.375	4
	N	8	8	8	8	8	8
"Wheeler,Kenneth:MANA-3319-001-MGT PROCESS THR"	Mean	4.0857	3.8529	3.9706	4.3529	4.1875	3.9714
	N	35	34	34	34	32	35
"Wheeler,Kenneth:MANA-4343-001-TRAINING & DEVELOPMENT"	Mean	4.4706	4.2353	4.3529	4.5294	4.3125	4.3529
	N	17	17	17	17	16	17
"Wheeler,Kenneth:MANA-4343-002-TRAINING & DEVELOPMENT"	Mean	4.1053	3.5263	3.6842	4.0556	3.8947	3.5789
	N	19	19	19	18	19	19
"White,Andrew:PHYS-1441-002-GENERAL COLLEGE PHYSICS I"	Mean	3.5	2.9737	3.3421	3.8684	3.7632	3.0526
	N	38	38	38	38	38	38
"White,Andrew:SCIE 5308 001"	Mean	3.5455	2.4167	3.5	3.6667	3.5	2.8333
	N	11	12	12	12	12	12
"Whitehead,Michele:CRCJ-3380-001-RACE, CRIME, AND JUSTICE"	Mean	4.4706	4.3529	4.5294	4.4118	4.4706	4.3529
	N	17	17	17	17	17	17
"Whiteside,Mary:BSAD-6313-001-ANOVA (2102-20499)"	Mean	4.1538	4.25	4.4615	4.4615	4.1538	4.6923
	N	13	12	13	13	13	13
"Whittier,Mindia:PREL-3339-001-PUBLIC RELATIONS METHODS"	Mean	4.9	4.9	5	5	5	5
	N	10	10	10	10	10	10
"Whittier,Mindia:PREL-3339-002-PUBLIC RELATIONS METHODS"	Mean	4.8824	4.8824	4.875	5	4.9375	4.7647
	N	17	17	16	17	16	17
"Whittier,Mindia:PREL-3355-001-PUBLIC RELATIONS CASE STUDY"	Mean	4.8125	4.6875	4.9375	4.9375	4.875	4.75
	N	16	16	16	16	16	16
"Whittier,Mindia:PREL-3355-002-PUBLIC RELATIONS CASE STUDY"	Mean	4.9375	4.9375	4.9375	4.9375	4.9375	4.9333
	N	16	16	16	16	16	15
"Whitton,Thomas:ART-3354-001-SIGN AND SYMBOL"	Mean	4.1667	4	4.3333	4.5	4.4167	4.3333
	N	12	12	12	12	12	12
"Whitton,Thomas:ART-3355-001-ADVANCED TYPOGRAPHY"	Mean	4.2308	4.3077	4.6154	4.1538	4.4615	4.3077
	N	13	13	13	13	13	13
"Whitton,Thomas:ART-3355-002-ADVANCED TYPOGRAPHY"	Mean	3.5714	3.8333	4.625	4.375	4.375	3.8571
	N	7	6	8	8	8	7
"Wickham,John:GEOL-3443-001-STRUCTURAL GEOLOGY"	Mean	4.65	4.6	4.65	4.9	4.8421	4.8947
	N	20	20	20	20	19	19
"Wiese,Brandon:HUMA-3340-001-TOPICS IN HUMA"	Mean	4.76	4.8519	4.8846	4.6667	4.8519	4.8148
	N	25	27	26	27	27	27
"Wiese,Brandon:PHIL-3324-001-TOPICS IN APPLIED ETHICS"	Mean	4.5937	4.7188	4.7879	4.7576	4.6667	4.7576
	N	32	32	33	33	33	33
"Wiese,Brandon:PHIL-3324-002-TOPICS IN APPLIED ETHICS"	Mean	4.7857	4.7308	4.8276	4.9	4.8	4.9333
	N	28	26	29	30	30	30
"Wiggins,Joy:LIST-4343-001-CONTENT AREA RDG/WRTG"	Mean	4.5	4.375	4.5161	4.5455	4.4242	4.5
	N	32	32	31	33	33	32
"Wiggins,Joy:LIST-5354-001-MULTICULTURAL LIT CHILDREN"	Mean	3.6667	3.6667	3.8889	3.7778	3.3333	3.7778
	N	9	9	9	9	9	9
"Wigley,Shelley:COMM-5392-002-SEMINAR"	Mean	4.75	4.75	4.9167	4.9167	4.8333	5
	N	12	12	12	12	12	12
"Wigley,Shelley:PREL-4316-002-PUBLIC RELATIONS CAMPAIGNS"	Mean	4.8462	4.8571	4.9091	4.9286	5	5
	N	13	14	11	14	13	14
"Wigley,Shelley:PREL-4320-002-PUBLIC RELATIONS MGMT"	Mean	4.5714	4.8462	4.9231	5	4.7143	5
	N	14	13	13	13	14	13
"Wilde,Scott:MATH-1302-010-COLLEGE ALGEBRA"	Mean	4.0714	4.1429	4.0476	4.4762	4.0732	4.2683
	N	42	42	42	42	41	41
"Wilde,Scott:MATH-2326-003-CALCULUS III"	Mean	4.2558	4.2955	4.0455	4.5	3.9545	4.3721
	N	43	44	44	44	44	43
"Wilensky,Terrance:MANA 3318 008"	Mean	3.5143	3.2	4.1429	3.7714	3.7647	3.2286
	N	35	35	35	35	34	35
